standardized_title,count,percentage,sample_description
IT Procurement Specialist,1,0.03,"Quản lý nguồn cung ứng: Chủ động tìm kiếm, đánh giá và thiết lập mạng lưới nhà cung cấp thiết bị công nghệ uy tín (Phần cứng IT, hạ tầng mạng, linh kiện chuyên dụng, phần mềm quản lý...). Nghiệp vụ mua sắm chuyên nghiệp: Tiếp nhận yêu cầu từ các phòng ban; thực hiện quy trình lấy báo giá (3 bên), phân tích so sánh cấu hình kỹ thuật và trực tiếp thương thảo các điều khoản hợp đồng. Kiểm soát chất lượng & Tài liệu: Phối hợp chặt chẽ với bộ phận IT để nghiệm thu thiết bị; đảm bảo hàng hóa đầy đủ chứng nhận nguồn gốc, chất lượng (CO/CQ) và các tiêu chuẩn y khoa khắt khe. Tối ưu hóa chi phí: Phân tích biến động thị trường để xây dựng kế hoạch mua sắm hiệu quả; quản lý tiến độ thanh toán và kiểm soát chặt chẽ chính sách bảo hành từ nhà cung cấp. Tham mưu giải pháp: Cập nhật các xu hướng công nghệ 4.0 để tư vấn cho Ban Lãnh đạo các phương án trang thiết bị hiện đại, bền bỉ và tiết kiệm năng lượng."
User Acquisition Manager,1,0.03,"Xây dựng và triển khai chiến lược User Acquisition cho các Apps theo mục tiêu tăng trưởng Lập kế hoạch, vận hành và tối ưu các chiến dịch quảng cáo trên Facebook, Google, TikTok, Unity, Applovin… Sử dụng thành thạo các công cụ theo dõi hiệu quả chiến dịch (Appsflyer, Adjust, Bytebrew, Google Analytics...) phân tích dữ liệu và đưa ra các điều chỉnh kịp thời để tối ưu CPI, ROAS, LTV Phối hợp với các bộ phận liên quan để sản xuất các mẫu quảng cáo (creatives) có hiệu quả cao; Thực hiện A/B testing để tối ưu quảng cáo, creative, storelisting, và các yếu tố khác nhằm nâng cao tỉ lệ chuyển đổi Chịu trách nhiệm quản lý và phân công công việc cho các thành viên team Marketing Trực tiếp dẫn dắt và phát triển team MKT để đạt được các mục tiêu đã đề ra, bao gồm đào tạo chuyên môn, quản lý hiệu suất và phát triển kỹ năng Thực hiện các công việc khác theo phân công của quản lý trực tiếp."
IT Quality Manager,1,0.03,"1. Thiết lập hệ thống quản trị chất lượng IT bao gồm: Xây dựng/chuẩn hóa framework ITQM: Chính sách chất lượng, quy chuẩn, checklist, quality gates theo vòng đời phát triển phần mềm ( SDLC). Thiết kế process governance cho Agile/DevOps: DoR/DoD, review gates, release readiness, CAB (nếu có). Thiết lập hệ thống tài liệu hóa: Quy trình, SOP, Template, RACI, tiêu chuẩn coding/testing, acceptance criteria. 2. Quản lý chất lượng phát triển phần mềm: Định nghĩa & triển khai quality plan cho từng sản phẩm/dự án: tiêu chí pass/fail, coverage, tiêu chuẩn UAT/Regression. Kiểm soát chất lượng yêu cầu (requirement quality): completeness, testability, traceability (RTM). Triển khai defect management: phân loại, root cause, trend analysis, ngăn tái diễn. Đảm bảo release quality: release checklist, rollback plan, monitoring plan, go-live criteria. 3. Làm đầu mối quản trị các đầu công việc: Chuẩn bị và phối hợp audit nội bộ/ngoại bộ: ISO 9001/27001 (nếu có), ITIL/COBIT practices. Theo dõi việc khắc phục audit finding và kiểm soát tuân thủ quy trình ở các team. Quản trị rủi ro chất lượng: risk register cho các thay đổi lớn, vendor, tích hợp hệ thống. 4. Thực hiện kiểm soát, xây dựng báo cáo quản trị IT và review định kỳ của công nghệ thông tin để đề xuất cải tiến và xây dựng chiến lược cho quản trị công nghệ thông tin với ban lãnh đạo. 5. Đào tạo và phát triển đội ngũ: Xây dựng bài giảng trên hệ thống đào tạo về các usecase và framework về quản trị công nghệ. Điều phối nguồn lực triển khai và đánh giá kết quả công việc của nhân sự trong team hoặc dự án."
IT Service Manager,1,0.03,Yêu cầu: 5 năm kinh nghiệm Đại Học trở lên Xem chi tiết Yêu cầu Chuyên môn: Chuyên môn Công nghệ thông tin khác
IT Cost Estimator,1,0.03,"1. Mô tả công việc (Job Description) 1.1. Lập dự toán chi phí cho dự án phần mềm cho các dự án: Phần mềm ứng dụng Hệ thống thông tin Cơ sở dữ liệu Nền tảng số, chuyển đổi số Áp dụng đúng các quy định của Nhà nước về quản lý chi phí đầu tư ứng dụng CNTT Tổng mức đầu tư Dự toán chi tiết Giá gói thầu CNTT 1.2. Áp dụng văn bản pháp luật & định mức; Nghiên cứu và áp dụng các văn bản: Luật Đầu tư công Luật Đấu thầu Luật Công nghệ thông tin Các Nghị định, Thông tư hướng dẫn về chi phí CNTT Áp dụng đúng: Định mức lao động Định mức chi phí phát triển phần mềm Phương pháp xác định giá phần mềm theo quy định 1.3. Phân tích yêu cầu & khối lượng công việc Phối hợp với đội kỹ thuật để: Phân tích yêu cầu nghiệp vụ Xác định phạm vi chức năng Xác định khối lượng: Chức năng phần mềm Công việc phát triển, triển khai, đào tạo, vận hành Chuyển đổi yêu cầu kỹ thuật thành khối lượng & chi phí hợp lý 1.4. Lập hồ sơ phục vụ thẩm định & đấu thầu Chuẩn bị các tài liệu: Thuyết minh dự toán Bảng tổng hợp chi phí Bảng chi tiết theo hạng mục Phối hợp giải trình với: Chủ đầu tư Đơn vị thẩm định Cơ quan quản lý nhà nước Hỗ trợ lập hồ sơ mời thầu (phần giá, dự toán) 1.5. Cập nhật & cải tiến phương pháp lập dự toán; Theo dõi, cập nhật các quy định mới về quản lý chi phí CNTT"
IT Project Coordinator,1,0.03,"Tham gia và điều phối tiến độ các dự án IT. Là đầu mối phối hợp giữa các bộ phận và các phòng ban liên quan. Lập và kiểm soát kế hoạch công việc, đảm bảo đúng tiến độ và chất lượng. Hỗ trợ lập kế hoạch công việc, phân bổ task và tổng hợp báo cáo. Tổng hợp tài liệu, kiểm tra chất lượng và cập nhật nội dung dự án."
Business Unit Director,1,0.03,"Dẫn dắt BU Metaverse từ giai đoạn R&D sang giai đoạn thương mại hóa và Go Global Đóng vai trò Kiến trúc sư trưởng cho mô hình kinh doanh, chuyển hóa các lợi thế công nghệ thành các giá trị kinh tế. Tối ưu hóa hệ sinh thái sản phẩm của Metaverse. Điều hành mọi hoạt động của BU, đảm bảo sự phối hợp nhịp nhàng giữa các phòng ban. Định hướng triển khai các hoạt động chiến lược để tăng định giá BU, hướng tới mục tiêu Unicorn. Xây dựng bộ máy nhân sự tinh gọn, giàu tính thực chiến, có khả năng thực thi tầm nhìn. Hỗ trợ phát triển kinh doanh, hợp tác chiến lược với các đối tác để mở rộng quy mô và tầm ảnh hưởng. Đánh giá và cải tiến liên tục các quy trình phát triển sản phẩm và vận hành BU để tăng cường hiệu quả và chất lượng"
Data Analyst Training Manager,1,0.03,"I. Xây dựng chương trình đào tạo DA (30%) - Thiết kế khung chương trình, lộ trình học tập cho các môn học và chương trình đào tạo liên quan đến Phân tích Dữ liệu. - Phối hợp cùng các phòng ban để tích hợp nội dung DA vào các chương trình như Quản trị Kinh doanh số. - Thiết kế phương pháp giảng dạy phù hợp với từng đối tượng học viên (sinh viên, người đi làm,...). - Xây dựng hệ thống bài tập, dự án (project-based learning), phương pháp khảo thí đánh giá kết quả học tập. - Tạo trải nghiệm học tập hấp dẫn, thực tiễn và gắn liền với năng lực nghề nghiệp cho học viên. II. Triển khai đào tạo (30%) - Tuyển chọn, đào tạo và phát triển đội ngũ giảng viên/nhân sự giảng dạy trong mảng DA. - Quản lý và đánh giá tài nguyên học tập, giáo trình, công cụ học tập của sinh viên/học viên. - Phối hợp với các bộ phận liên quan để triển khai đào tạo theo đúng kế hoạch và lộ trình chương trình. - Đảm bảo chất lượng và tiến độ triển khai các chương trình đào tạo. III. Công tác quản lý (20%) - Xây dựng kế hoạch hoạt động của phòng DA theo định hướng và mục tiêu chung của tổ chức. - Giám sát và đánh giá hiệu quả thực thi các công việc trong phòng; báo cáo định kỳ cho cấp quản lý. - Đề xuất các chính sách, cơ chế vận hành và phát triển nhân sự phòng DA. IV. Tham gia đào tạo, đánh giá và cải tiến chương trình (20%) - Tham gia trực tiếp vào hoạt động giảng dạy một số môn/chuyên đề trong chương trình DA. - Đánh giá hiệu quả chương trình và đề xuất cải tiến nội dung, phương pháp đào tạo dựa trên phản hồi và kết quả học tập. - Hướng dẫn học viên thực hiện dự án, đồ án tốt nghiệp liên quan đến phân tích dữ liệu."
Data Recovery Engineer,1,0.03,"A. Tiếp nhận – Đánh giá – Phân luồng xử lý Nhận thiết bị/phiếu yêu cầu từ khách hàng, kiểm tra hiện trạng và xác định nguyên nhân sự cố. Phân loại theo nhóm lỗi (logic, firmware, vật lý), đánh giá mức độ rủi ro và đề xuất hướng xử lý phù hợp. Thực hiện bước chẩn đoán ban đầu, phân bổ ca cho bộ phận chuyên trách (nếu có) và cập nhật tiến độ cho CS/đầu mối liên quan. B. Tạo bản sao dữ liệu an toàn (Imaging/Cloning) Thực hiện sao lưu toàn bộ dữ liệu theo phương pháp bit-by-bit/forensic image, đảm bảo hạn chế tối đa tác động lên thiết bị gốc. Áp dụng giải pháp write blocker (phần cứng hoặc phần mềm) khi cần bảo toàn tính toàn vẹn dữ liệu – đặc biệt trong các trường hợp yêu cầu chuẩn mực thu thập chứng cứ số. C. Phục hồi dữ liệu ở mức logic Khôi phục dữ liệu trong các tình huống: xóa nhầm, format nhầm, lỗi hệ thống file, hỏng phân vùng, lỗi hệ điều hành, sự cố mã hóa/virus (theo chính sách công ty). Thực hiện trích xuất dữ liệu theo yêu cầu và kiểm tra tính toàn vẹn sau phục hồi thông qua việc mở file, đối chiếu cấu trúc và thống kê dữ liệu. D. Phục hồi dữ liệu do lỗi phần cứng/firmware Đối với HDD/SSD/thiết bị lưu trữ flash: tiến hành kiểm tra chuyên sâu, kiểm soát nguồn cấp, xử lý lỗi truy cập ở mức thấp và tối ưu quá trình đọc nhằm thu thập dữ liệu nhiều nhất có thể trong phạm vi công cụ và năng lực kỹ thuật."
Monetization Optimizer,1,0.03,"Phân tích sản phẩm và thị trường Mobile app. Setup Waterfall, A/B testing trên Admob mediation, MAX mediation, ironSource mediation,… nhằm tối ưu doanh thu từ các Advertising Network Phối hợp cùng team Produc, Marketing để đề xuất, cải tiến và phân tích các chiến lược giúp tạo ra doanh thu từ quảng cáo, in app purchase , đồng thời giữ chất lượng trải nghiệm người dùng, từ đó đưa sản phẩm lên đứng đầu thị trường Làm việc với các đối tác Advertising Network như Admob, Facebook, Unity, ironSource, Applovin, Mintegral… để tối ưu doanh thu người dùng đến từ quảng cáo"
Power Platform Engineer,1,0.03,"Phát triển các ứng dụng nội bộ trên nền tảng Microsoft 365 & Power Platform Xây dựng các ứng dụng bằng: Power Apps Power Automate SharePoint Online Power BI Dataverse Copilot studio (Biết là lợi thế) Thiết kế và xây dựng: Workflow tự động hóa quy trình Form nhập liệu Hệ thống quản lý dữ liệu nội bộ Kết nối dữ liệu giữa các hệ thống (SharePoint, Excel, API, Dataverse…) Phối hợp với BA và đội phát triển để xây dựng các ứng dụng phục vụ quản trị doanh nghiệp."
Cybersecurity Instructor,1,0.03,"Hợp tác theo hình thức thỉnh giảng (linh động lịch đáp ứng giảng dạy theo 3 ca: sáng, chiều hoặc tối). Phối hợp cùng đội ngũ nhân sự của Trường để biên soạn giáo án theo tiêu chuẩn. Tham gia công tác giảng dạy phù hợp với chuyên môn Bảo mật và an toàn thông tin."
ERP Data Specialist,1,0.03,"Product Credential Setup Coordinate closely with the Production Excellence team and relevant departments to gather and validate new product setup requests via JIRA. Accurately input product credentials into the ERP system (Microsoft Dynamics AX) within the defined timelines. Ensure a systematic and seamless setup process that supports uninterrupted order processing and operational workflows. Product Credential Updates Receive product update requests from internal departments through JIRA. Identify the nature of requested changes and ensure the correct validation and approval processes are followed. Update product information in the system accordingly and confirm completion with relevant stakeholders. Documentation & Data Management Maintain historical and future product data in a structured and accessible format. Ensure documentation is well organized and available for performance estimation, tracking, or audit purposes. Cross-functional Support Support various operational tasks and projects across the Production Excellence Department and the ERP (IT) team as assigned by management. Participate in training and coaching programs when required to ensure regulatory compliance and improve work performance."
Software Implementation Engineer,1,0.03,"Vị trí này chịu trách nhiệm triển khai, tích hợp và vận hành các sản phẩm phần mềm của ELCOM trong các dự án giao thông thông minh (ITS), đảm bảo hệ thống hoạt động ổn định, đúng yêu cầu kỹ thuật và đáp ứng tiến độ dự án. MÔ TẢ CÔNG VIỆC Nắm bắt các sản phẩm về giao thông thông minh của ELCOM ( ETC, HT Cân, ITS) ( bao gồm các kiến thức về quản trị, cài đặt các ứng dụng trên server (có người hướng dẫn), khai thác database (mức basic), hệ thống thiết bị điện + camera). Thực hiện triển khai tích hợp phần mềm sản phẩm nội bộ cho mảng giải pháp Giao thông thông minh (Thu phí, cân tải trọng, giám sát xử phạt, ....) đảm bảo đúng tiến độ, tiêu chí lắp đặt, chất lượng yêu cầu và nghiệm thu hệ thống. Hỗ trợ đào tạo, hướng dẫn vận hành sản phẩm cho Khách hàng. Theo dõi chất lượng, bảo hành, bảo trì phần mềm các hệ thống đã triển khai. Phối hợp các bộ phận để tối ưu sản phẩm."
Level Designer,1,0.03,"Thiết kế và xây dựng các màn chơi (level) trong game bằng công cụ nội bộ. Hiểu về nhịp độ (pacing) và tiến trình (progression) của level, đồng thời áp dụng hiệu quả trong quá trình thiết kế. Phân tích dữ liệu hành vi người chơi để đánh giá hiệu quả của level và đề xuất cải thiện. Liên tục tối ưu và chỉnh sửa level dựa trên feedback và dữ liệu thu thập được. Đóng góp ý tưởng sáng tạo cho thiết kế game và các tính năng gameplay."
Application Support Specialist,1,0.03,"- Đảm bảo tất cả thông tin thầu được cập nhật trên Tender web theo từng giai đoạn chính xác và kịp thời -Phối hợp với Bộ phận IT và Hợp đồng để đề xuất giải pháp phù hợp các trường hợp phát sinh trong quá trình quản lý Tender Web -Tạo tài khoản, điều chỉnh phân quyền chính xác và kịp thời theo yêu cầu của User -Hướng dẫn Hãng thao tác trên Tender Web -Hướng dẫn, đào tạo nhân viên sử dụng Tender Web -Theo dõi và cập nhật kịp thời các báo cáo về thông tin Thầu trên hệ thống Tender Web -Thực hiện một số công việc khác theo phân công của Quản lý trực tiếp."
ICT Solutions Engineer,1,0.03,"1. Thiết kế Giải pháp: Làm việc trực tiếp với đội ngũ kinh doanh và khách hàng để hiểu rõ các yêu cầu kinh doanh, các quan hệ hợp tác trong nội bộ Công ty và hồ sơ ISO Có kỹ năng chuyên sâu về hệ thống hạ tầng ICT Xây dựng các cấu hình kỹ thuật phù hợp yêu cầu khách hàng về các dự án đầu tư CNTT. Trình bày, làm hồ sơ giải pháp và hồ sơ dự án, triển khai dự án giải pháp CNTT. Nghiên cứu, tự học hoặc tham gia các khóa đào tạo của hãng thường xuyên để nắm vững được các giải pháp, công nghệ và sản phẩm của các đối tác của Công ty. 2. Hỗ trợ Kỹ thuật và Bán hàng: Hỗ trợ kỹ thuật, thực hiện các dịch vụ kỹ thuật theo yêu cầu của khách hàng và yêu cầu của các dự án IT (bao gồm cả phần Presales, Postsales và Afterales Service) Tham gia vào quá trình lập hồ sơ thầu, viết đề xuất kỹ thuật (technical proposal) và báo cáo. Trình bày, làm hồ sơ giải pháp và hồ sơ dự án."
Low Code Engineer,1,0.03,"We are looking for an experienced Low Code Engineer to join our development team. This is a great opportunity for you to apply your low-code development skills across various platforms and contribute to innovative technology projects. Particularly, if you have experience with NTT Intra-mart, workflow design, or knowledge of BPM/BPMN, you will have a significant advantage. Analyze requirements, design, and develop low-code solutions on platforms used within the company (priority given to the NTT Intra-mart platform). Design and implement automated workflows and applications related to business process management (BPM). Collaborate closely with the development team, business analysts, and clients to deliver appropriate and effective solutions. Ensure that solutions meet criteria for security, performance, and scalability. Train and support users and team members in the development and use of low-code platforms. Troubleshoot and continuously improve existing systems."
C++ Developer,1,0.03,"Develop and maintain user interfaces using C++. Collaborate with backend developers to integrate APIs and services. Write clean, maintainable, and efficient code. Participate in code reviews and contribute to team best practices. Optimize applications for maximum speed and scalability. Troubleshoot and debug applications to enhance performance."
Programming Tutor,1,0.03,"- Hỗ trợ giáo viên chính trong việc chuẩn bị và giảng dạy các khóa học lập trình cho học viên từ cơ bản đến nâng cao. - Hỗ trợ xây dựng, cập nhật và cải tiến giáo trình, tài liệu giảng dạy nhằm đảm bảo nội dung học tập luôn mới mẻ và sát với thực tế. - Hỗ trợ quản lý chất lượng đảm bảo chất lượng đào tạo đạt chuẩn đầu ra, báo cáo và thực hiện các bài đánh giá năng lực học viên định kỳ, cung cấp phản hồi và đưa ra giải pháp hỗ trợ, cải thiện kỹ năng cho từng đối tượng học viên. - Tư vấn, hỗ trợ và giải đáp các thắc mắc cho học viên trong quá trình học tập. - Được tham gia lên kế hoạch và xây dựng hệ thống bài giảng trực tuyến, hệ thống kiểm tra đánh giá và tài liệu học tập số. - Thực hiện các công việc khác theo yêu cầu của Cấp trên."
Growth Advisor,1,0.03,"Nghiên cứu thị trường, xác định phân khúc khách hàng tiềm năng và xây dựng chiến lược tiếp cận phù hợp với các giải pháp phần mềm của công ty. Tìm kiếm và phát triển khách hàng mới; phân tích nhu cầu và tư vấn giải pháp phù hợp cho từng khách hàng. Dẫn dắt toàn bộ chu trình bán hàng (sales cycle) từ tiếp cận khách hàng, khảo sát nhu cầu, đề xuất giải pháp, thương lượng đến ký kết hợp đồng và chăm sóc sau bán. Chuẩn bị tài liệu đề xuất giải pháp (proposal, presentation) và phối hợp với Marketing triển khai các hoạt động lead generation theo ngành. Quản lý pipeline kinh doanh, theo dõi tiến độ các cơ hội bán hàng và báo cáo hiệu quả hoạt động phát triển khách hàng. Xây dựng phương án giá, tham gia đàm phán và phối hợp với các bộ phận liên quan để hoàn thiện hợp đồng. Phối hợp với đội triển khai để đảm bảo chất lượng bàn giao dự án, theo dõi tiến độ thực hiện hợp đồng và phát triển cơ hội upsell."
Process Quality Analyst,1,0.03,"1. Mục tiêu vị trí: Chịu trách nhiệm theo dõi, đánh giá và thúc đẩy việc tuân thủ quy trình trong các dự án; nhắc nhở Quản lý Dự án hoàn thành các mốc quản trị và hồ sơ bắt buộc; tham gia chuẩn hóa, cải tiến, đào tạo và truyền thông quy trình trong tổ chức nhằm nâng cao chất lượng quản trị dự án và tính kỷ luật thực thi. 2. Nhiệm vụ chính Theo dõi việc tuân thủ quy trình, hướng dẫn, biểu mẫu, checklist và hồ sơ quản trị dự án theo quy định nội bộ. Rà soát định kỳ tình trạng thực hiện các mốc quản trị, báo cáo, phê duyệt, hồ sơ nghiệm thu, hồ sơ đóng giai đoạn/đóng dự án. Chủ động nhắc nhở Quản lý Dự án và các bên liên quan về các đầu việc đến hạn, milestone quan trọng và nghĩa vụ báo cáo. Ghi nhận các điểm chưa phù hợp, chậm trễ hoặc thiếu hồ sơ; tổng hợp, báo cáo và theo dõi việc khắc phục. Cảnh báo sớm các rủi ro liên quan đến tuân thủ quy trình, tiến độ quản trị và chất lượng hồ sơ dự án. Tham gia xây dựng, cập nhật, chuẩn hóa quy trình, biểu mẫu, checklist, hướng dẫn và cơ chế kiểm soát nội bộ liên quan đến quản trị dự án. Tham gia đào tạo, hướng dẫn và truyền thông nội bộ về quy trình cho Quản lý Dự án và các đội dự án. Hỗ trợ các hoạt động kiểm tra nội bộ, đánh giá sức khỏe dự án, tổng hợp bài học kinh nghiệm và đề xuất cải tiến quy trình."
Product Idea Creator,1,0.03,"Nghiên cứu & triển khai product idea sạch cho dòng sản phẩm sách kết hợp với công nghệ AI; Phân tích văn hóa, hành vi và thói quen tiêu dùng của khách hàng phụ huynh/ông bà/… tại thị trường US UK EU AU; Phân tích dữ liệu thị trường, đối thủ cạnh tranh, xu hướng sản phẩm. Từ đó dự đoán nhu cầu khách hàng; Sáng tạo ý tưởng dựa trên dữ liệu nghiên cứu; Tham gia phát triển sản phẩm và xây dựng thương hiệu từ giai đoạn đầu; Đề xuất và triển khai chiến lược Marketing & Branding cho brand mới; Phối hợp với các bộ phận liên quan (Design, Marketing, Vận hành…) để triển khai ý tưởng hiệu quả."
BIM Developer,1,0.03,"Chuyên viên BIM Developer Xây dựng, 1 Chuyên viên BIM Developer Cơ điện: • Tự động hóa: Viết các Add-ins/Plugins (C#, Python) trên Revit, Navisworks để tự động hóa các tác vụ lặp đi lặp lại. • Quản trị dữ liệu: Kết nối dữ liệu từ mô hình BIM với các phần mềm quản lý khác (ERP, SAP, Power BI...). • Nghiên cứu APS (Forge): Phát triển nền tảng xem và quản lý mô hình trên Web-base. • Hỗ trợ kỹ thuật: Xây dựng các Script phức tạp để xử lý hình học và dữ liệu lớn."
Simulation Engineer,1,0.03,"Tham gia các dự án/ công việc tính toán thiết kế và mô phỏng kết cấu Tham gia đào tạo, hỗ trợ kỹ thuật cho khách hàng sử dụng phần mềm Mechanical, LS-DYNA Hỗ trợ kinh doanh: tư vấn kỹ thuật, giới thiệu sản phẩm cho khách hàng"
Technical Coordinator,1,0.03,"Lập, tổng hợp, theo dõi, điều chỉnh Kế hoạch sản xuất kinh doanh (gồm Doanh thu, Chi phí, Dòng thu, Dòng chi, Đầu tư) của Phòng Kỹ thuật truyền hình (KTTH). Tổng hợp, tham mưu cho Trưởng bộ phận về các Kế hoạch đầu tư/Phương án tài chính của dự án mới. Xây dựng/Điều chỉnh/Báo cáo Kế hoạch tối ưu chi phí theo từng giai đoạn hoặc theo chỉ đạo của Cấp Có Thẩm Quyền. Đầu mối thanh toán, tạm ứng, thu chi, theo dõi thực hiện hợp đồng, trích trước chi phí, đăng ký kế hoạch chi tuần ... liên quan đến thanh quyết toán của KTTH (mặt bằng, điện, đường truyền, phí/lệ phí, sửa chữa bảo dưỡng ...) Theo dõi tiến độ dự án, mua sắm thiết bị/tài sản phối hợp với các bộ phận/phòng ban liên quan nhằm đảm bảo công việc thực hiện theo đúng tiến độ đã đề ra. Phối hợp nhóm DTT (Truyền hình kỹ thuật số mặt đất) và nhóm DTH (Truyền hình kỹ thuật số vệ tinh) để xử lý sự cố và triển khai các dự án DTT và DTH. Phối hợp nhóm truyền dẫn để xử lý sự cố và triển khai các dự án liên quan đến truyền dẫn. Phối hợp và hỗ trợ các nhóm về kỹ thuật truyền hình và các phòng ban khác trong xử lý công việc."
GIS Developer,1,0.03,"Tốt nghiệp Đại học chuyên ngành: Thông tin Địa lý, Địa tin học hoặc các ngành liên quan. Thành thạo các phần mềm GIS phổ biến như: ArcGIS, Mapinfor, QGIS... Có kiến thức về cơ sở dữ liệu không gian (geodatabase) và các định dạng dữ liệu không gian (shapefile, GeoJSON, v.v.). Có kiến thức về web GIS và phát triển ứng dụng web GIS (html, css, javascript...) Có kinh nghiệm lập trình (Python, JavaScript, v.v.) để tự động hóa các quy trình GIS"
Outsystem Developer,1,0.03,"Tham gia tìm kiếm, đề xuất giải pháp về kỹ thuật nhằm đáp ứng yêu cầu khách hàng. Thiết kế và phát triển các Giải pháp OutSystems dựa trên yêu cầu của khách hàng. Hỗ trợ và đào tạo cho các thành viên trong dự án. Tạo tài liệu mẫu, checklist, rules... cho dự án."
System and Database Administrator,1,0.03,"Quản trị, vận hành hệ thống ổn định hệ thống máy chủ và cơ sở dữ liệu tập trung của THACO, đồng thời hỗ trợ vận hành hệ thống tại THISO đảm bảo hoạt động ổn định, an toàn thông tin. Trực tiếp giám sát hiệu năng máy chủ, CSDL được phân công vận hành tại THACO, phối hợp xử lý các sự cố phát sinh liên quan CNTT tại THISO, các đơn vị phụ trách. Thực hiện công tác bảo trì định kỳ, cập nhật bản vá cho hệ thống máy chủ và các thiết bị lưu trữ, kiểm tra nhật ký hệ thống để phát hiện sớm các rủi ro. Thực hiện quy trình sao lưu (Backup) dự phòng định kỳ đối với dữ liệu, phần mềm ứng dụng tại THISO, đảm bảo tính toàn vẹn và khả năng khôi phục khi có sự cố. Tuân thủ các quy trình quản trị, bảo mật hệ thống. Tham gia biên soạn và cập nhật tài liệu hướng dẫn vận hành hệ thống máy chủ, CSDL. Hỗ trợ kỹ thuật, hướng dẫn CB-NV tại các đơn vị phụ trách sử dụng hiệu quả các dịch vụ CNTT. Báo cáo định kỳ tình trạng hoạt động của hệ thống và kết quả công việc cho cấp quản lý trực tiếp."
IT Translator,1,0.03,"Read, analysis & translate the project requirements, project specification documents and explain them to the development team. Interpret meetings and exchange content between clients, PMs and developers. Support QA team to ensure the project is implemented on schedule and meets quality as required. Support administrative and back office tasks when requested by manager."
Renewal Specialist,1,0.03,"- Liên hệ với các khách hàng đang sử dụng phần mềm KiotViet để chăm sóc, hỗ trợ khách hàng trong quá trình phần mềm trên data có sẵn (100% - data công ty cung cấp) - Tạo mối quan hệ tốt với các khách hàng sắp hết hạn và đã hết hạn hợp đồng để khách hàng tái ký - gia hạn hợp đồng mới; - Tiến hành đàm phán, thương lượng hợp đồng với khách hàng; - Hỗ trợ, hướng dẫn các tính năng mới của phần mềm nếu có cho khách hàng."
Monetization Analyst,1,0.03,"Lên ý tưởng, kịch bản quảng cáo (ads script) cho app. Hỗ trợ thiết lập và theo dõi Mediation trên các nền tảng như AdMob, MAX. Tham gia cùng team trong việc cấu hình Waterfall, hiểu cách phân bổ quảng cáo theo từng quốc gia và nhóm người dùng. Thực hiện A/B test, phân tích dữ liệu và báo cáo kết quả các chiến dịch. Cùng team đưa ra đề xuất tối ưu doanh thu dựa trên dữ liệu thực tế. Tìm hiểu và cập nhật xu hướng, tips mới về quảng cáo app. Làm quen với các công cụ theo dõi dữ liệu như Firebase, Google Analytics. Hỗ trợ nghiên cứu, đánh giá các network quảng cáo mới (AdMob, MAX, TikTok, Unity...)."
E-commerce Administrator,1,0.03,"Quản lý danh mục sản phẩm & dịch vụ trên các nền tảng bán hàng (website, ERP nội bộ…): Tạo mới sản phẩm/dịch vụ: nhập thông tin chi tiết (tên, mô tả, thông số kỹ thuật, hình ảnh, video, biến thể SKU, thuộc tính…) Cập nhật và tối ưu thông tin sản phẩm định kỳ để đảm bảo chính xác, hấp dẫn và tuân thủ quy định của nền tảng. Quản lý giá bán và khuyến mãi: Cập nhật, điều chỉnh giá bán, giá gốc, giá sale theo kế hoạch kinh doanh và chiến dịch marketing. Thiết lập và quản lý các chương trình khuyến mãi, flash sale, combo, voucher, giảm giá theo % hoặc giá trị cố định. Theo dõi và xử lý các trường hợp sai giá, trùng giá, xung đột khuyến mãi. Theo dõi & phân tích giá thị trường: Nghiên cứu, so sánh giá sản phẩm/dịch vụ tương đương của đối thủ cạnh tranh (website đối thủ, cửa hàng offline…). Báo cáo hàng tuần/tháng về biến động giá thị trường, xu hướng giá, sản phẩm hot trend. Đề xuất điều chỉnh giá bán để duy trì lợi thế cạnh tranh và biên lợi nhuận mục tiêu. Hỗ trợ vận hành sản phẩm hàng ngày: Kiểm tra và xử lý các lỗi hiển thị sản phẩm (hết hàng, ngừng kinh doanh, sai thông tin…). Phối hợp với bộ phận kho vận, marketing, kinh doanh để cập nhật tồn kho, trạng thái sản phẩm kịp thời. Hỗ trợ xử lý khiếu nại khách hàng liên quan đến thông tin sản phẩm/giá cả. Báo cáo & cải tiến: Lập báo cáo định kỳ về tình hình danh mục sản phẩm, hiệu quả giá bán, biến động thị trường. Đề xuất cải tiến quy trình nhập liệu, tối ưu hiển thị sản phẩm để tăng tỷ lệ chuyển đổi."
