final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
salesforce,Tool & Platform,19,3,12,7,Salesforce|Chứng chỉ Salesforce|Salesforce.com
hyper v,Infrastructure & DevOps,19,1,14,5,Hyper-V
centos,Tool & Platform,19,2,17,2,CentOS|Centos
miro,Tool & Platform,19,1,17,2,Miro
dbt,Data Engineering & Analytics,19,3,13,6,dbt|DBT|Dbt
scss,Programming Language,19,3,16,3,SCSS|Sass/SCSS|SCSS/SASS/CSS
mqtt,Infrastructure & DevOps,19,1,15,4,MQTT
sql databases,Database,19,14,16,3,tối ưu hóa SQL|SQL querying|chứng chỉ SQL|SQL Database|SQL tools
dashboard,Data Engineering & Analytics,19,11,10,9,Dashboard|dashboard|xây dựng dashboard|xây dựng Dashboard|công cụ dashboard
cbap,Other,19,1,1,18,CBAP
regression testing,Testing & QA,19,5,18,1,regression testing|Regression Testing|Regression testing|regression test suites|regression test
solution architecture,Engineering Concepts & Methodologies,19,8,15,4,Solution Design|thiết kế giải pháp|Thiết kế giải pháp|kiến trúc giải pháp|solution architecture
payment,Domain Knowledge,19,3,9,10,thanh toán|payment|Payment
test report,Testing & QA,19,9,19,0,chuẩn bị báo cáo test|test report|Test report|Test Report|test reports
dlp,Infrastructure & DevOps,19,1,14,5,DLP
cmmi,Other,19,2,12,7,CMMI|CMMi
access control,Infrastructure & DevOps,19,6,16,3,access control patterns|phân quyền|access control|Access Control|access controls
juniper,Infrastructure & DevOps,19,1,15,4,Juniper
sre,Infrastructure & DevOps,19,1,18,1,SRE
socketio,Framework / Library,19,6,18,1,Socket|SocketIO|Socket.IO|Socket.io|socket.io
observability,Infrastructure & DevOps,19,5,18,1,observability|Observability|monitoring/observability|observability tools|observable
objective c,Programming Language,18,3,11,7,Objective-C|Objective C|Objective – C
milvus,Database,18,1,13,5,Milvus
security testing,Testing & QA,18,7,5,13,security testing|Security Testing|security test|security assessment|Security test
business process,Domain Knowledge,18,8,14,4,quy trình kinh doanh BĐS|Business Process|BPM|quy trình kinh doanh|quy trình vận hành doanh nghiệp
transaction,Engineering Concepts & Methodologies,18,8,17,1,transaction|Transaction|transaction management|Transaction Management|transaction handling
provider,Framework / Library,18,2,17,1,Provider|Service Provider
splunk,Infrastructure & DevOps,18,2,14,4,Splunk|splunk
team leader,Soft Skill,18,7,14,4,BA team leader|team leader|Team leader|Team Leader|Leader team
data center,Infrastructure & DevOps,18,10,14,4,Data Center|DataCenter|datacenter|Datacenter|data center
schema design,Engineering Concepts & Methodologies,18,5,17,1,schema design|thiết kế schema|thiết kế ở mức schema|schematic|Schematic
openstack,Infrastructure & DevOps,18,5,11,7,OpenClaw|OpenStack|Openstack|chứng chỉ OpenStack|chứng chỉ OpenShift
truyền đạt,Soft Skill,18,9,14,4,truyền đạt|truyền dẫn|diễn đạt|Triển khai|đối ngoại
infrastructure,Infrastructure & DevOps,18,6,14,4,Infrastructure|infrastructure|cơ sở hạ tầng|critical infrastructure|AI/ML infrastructure
bloc,Framework / Library,18,3,17,1,Bloc|BLoC|BloC
jest,Testing & QA,18,1,10,8,Jest
ui ux principles,Design & UX,18,6,11,7,UI/UX principles|nguyên tắc thiết kế UX/UI|UX/UI principles|UX principles|nguyên tắc UI/UX
vpc,Infrastructure & DevOps,18,2,17,1,VPC|vPC
system analysis,Engineering Concepts & Methodologies,18,4,18,0,System analysis|phân tích hệ thống|System Analysis|systems analysis
pmi acp,Other,18,2,0,18,PMI-ACP|PMI ACP
ospf,Infrastructure & DevOps,18,1,18,0,OSPF
jpa,Framework / Library,18,1,14,4,JPA
data governance,Data Engineering & Analytics,18,2,11,7,data governance|Data Governance
đọc hiểu tài liệu,Soft Skill,17,7,16,1,đọc hiểu tài liệu|đọc hiểu văn bản|Đọc hiểu tài liệu tiếng Nhật|Đọc hiểu tài liệu IT|đọc hiểu
probability,AI/ML/Data,17,7,15,2,probability|xác suất thống kê|Probability|Xác suất|xác suất
ai integration,Engineering Concepts & Methodologies,17,9,12,5,integration|Integration|AI Integration|AI integration|ECC integration
uat,Testing & QA,17,1,15,2,UAT
data quality,Data Engineering & Analytics,17,8,10,7,data quality|Data quality|data quality management|Data quality frameworks|data quality frameworks
databricks,Data Engineering & Analytics,17,3,10,7,Databricks|Databrick|Azure Databricks
apache,Infrastructure & DevOps,17,2,15,2,Apache|apache
bgp,Infrastructure & DevOps,17,1,16,1,BGP
planning,Soft Skill,17,9,17,0,Lập kế hoạch hoạt động|Planning|planning|lập kế hoạch GTM|lập kế hoạch QA
eks,Infrastructure & DevOps,17,1,10,7,EKS
prince2,Other,17,2,1,16,PRINCE2|Prince2
openshift,Infrastructure & DevOps,17,7,9,8,OpenShift|Red Hat OpenShift|RedHat OpenShift|Openshift|Redhat OpenShift
swiftui,Framework / Library,17,2,14,3,SwiftUI|Swift UI
angularjs,Framework / Library,17,4,13,4,Angularjs|AngularJs|angularjs|AngularJS
tự động hóa,Domain Knowledge,17,6,13,4,Tự động hóa|tự động hóa|tự động hóa IoT|hệ thống tự động hóa|các thiết bị tự động hóa
hệ thống cntt,Domain Knowledge,17,9,14,3,hệ thống CNTT|triển khai và vận hành hệ thống CNTT|thiết kế hệ thống CNTT|hỗ trợ vận hành hệ thống CNTT|CNTT/hệ thống
looker studio,Data Engineering & Analytics,17,5,16,1,Looker Studio|Google Looker Studio|Google data studio|Google Data Studio|Google Looker
test design,Testing & QA,17,9,16,1,test design|Test design|thiết kế kiểm thử|review về thiết kế kiểm thử|kỹ thuật thiết kế kiểm thử
professional certifications,Other,17,12,2,15,Professional certifications|chứng chỉ chuyên môn|chứng chỉ quốc tế|professional certifications|BI certification
sharepoint,Tool & Platform,17,4,10,7,SharePoint Online|Sharepoint Online|SharePoint|Sharepoint
code refactoring,Engineering Concepts & Methodologies,17,4,16,1,code refactoring|refactoring|refactor code|tái cấu trúc mã
lpi,Other,17,1,0,17,LPI
wan,Infrastructure & DevOps,17,1,17,0,WAN
workflow automation,Data Engineering & Analytics,17,5,8,9,Workflow automation|workflow automation|automated workflows|automation workflow|workflow automation tools
software development life cycle (sdlc),Engineering Concepts & Methodologies,17,8,17,0,quy trình vòng đời phần mềm|vòng đời phát triển phần mềm|software development life cycle|software development life cycle (SDLC)|Software Development Life Cycle (SDLC)
game,Domain Knowledge,17,2,8,9,game|Game
fine tuning,AI/ML/Data,17,6,9,8,fine-tuning|fine-tuning LLM|fine-tune|fine tuning|Performance and Tuning
gemini,AI/ML/Data,17,1,13,4,Gemini
informatica,Data Engineering & Analytics,16,8,15,1,Computer Science|computer science fundamentals|Khoa học máy tính|Informatica|khoa học máy tính
workflow,Engineering Concepts & Methodologies,16,8,12,4,workflow management|workflow|Workflows|Workflow|Workflow phê duyệt
service oriented,Engineering Concepts & Methodologies,16,6,11,5,SOA|service-oriented|service-oriented architectures|hệ thống hướng dịch vụ|kiến ​​trúc hướng dịch vụ
ví điện tử,Domain Knowledge,16,2,8,8,ví điện tử|Ví điện tử
animation,Design & UX,16,5,13,3,animation|Animation|animations|Animations|basic animation
keras,AI/ML/Data,16,1,15,1,Keras
backlog management,Engineering Concepts & Methodologies,16,6,16,0,quản lý backlog|Quản lý backlog|quản lý Backlog|làm việc với backlog|managing backlog
web applications,Domain Knowledge,16,9,14,2,Web Application|Web Applications|Web application|Web applications|web applications
microsoft,Other,16,4,10,6,chứng chỉ Microsoft|Microsoft|Chứng chỉ Microsoft Azure|Microsoft MFC
oauth,Engineering Concepts & Methodologies,16,1,13,3,OAuth
bi tools,Data Engineering & Analytics,16,3,10,6,BI Tools|BI tools|BIM tooling
incident handling,Soft Skill,16,6,15,1,phân tích và xử lý sự cố|Giải quyết sự cố|giải quyết sự cố|xử lý incident/issue|incident handling
teaching,Soft Skill,16,6,12,4,training|teaching|quy trình giảng dạy|Giảng dạy|giảng dạy
operations,Domain Knowledge,16,3,12,4,vận hành|Operations|operations
flow,Framework / Library,16,2,14,2,flow|Flow
xcode,Tool & Platform,16,3,14,2,XCode|xCode|Xcode
mvp,Engineering Concepts & Methodologies,16,1,16,0,MVP
production systems,Infrastructure & DevOps,16,10,12,4,vận hành hệ thống production|triển khai hệ thống trên môi trường production|hệ thống sản xuất|vận hành hệ thống trong môi trường sản xuất|triển khai hệ thống AI production
serverless,Infrastructure & DevOps,16,5,11,5,serverless|Serverless|serverless platforms|serverless computing|Serverless Development
testrail,Testing & QA,16,1,15,1,TestRail
electronics,Embedded & Firmware,16,7,14,2,electronics|điện tử|mạch điện tử|thiết bị điện tử|Điện tử
orchestration,Infrastructure & DevOps,16,6,13,3,container orchestration|Container Orchestration|orchestration|Container orchestration|orchestration tools
api gateway,Infrastructure & DevOps,16,3,14,2,API gateway|API Gateway|API Gateways
compliance,Domain Knowledge,16,7,13,3,compliance|compliance requirements|Compliance|Regulatory Compliance|regulatory compliance
web api,Engineering Concepts & Methodologies,16,1,16,0,Web API
ec2,Infrastructure & DevOps,16,1,15,1,EC2
rds,Infrastructure & DevOps,16,1,13,3,RDS
change management,Soft Skill,16,8,14,2,quản lý thay đổi|change management|Change Management|quản trị thay đổi|Change management
nas,Infrastructure & DevOps,16,1,15,1,NAS
cism,Other,15,1,0,15,CISM
db design,Database,15,4,14,1,thiết kế DB|thiết kế CSDL|Thiết kế CSDL|DB design
risk based,Soft Skill,15,12,15,0,xác định rủi ro|rủi ro mô hình|Nhận diện rủi ro|xác định rủi ro tiềm ẩn hệ thống|nhận diện rủi ro hệ thống
korean,Soft Skill,15,2,6,9,tiếng Hàn|Korean
datadog,Infrastructure & DevOps,15,2,12,3,Datadog|DataDog
mentor,Soft Skill,15,2,11,4,mentor|Mentor
it infrastructure,Infrastructure & DevOps,15,5,12,3,hạ tầng CNTT|IT Infrastructure|IT infrastructure|IT infrastructure architecture|IT infrastructure operations
chăm sóc khách hàng,Soft Skill,15,5,8,7,Nghiên cứu khách hàng|chăm sóc khách hàng|quản lý khách hàng|phối hợp khách hàng|đề án với khách hàng
game development,Domain Knowledge,15,9,13,2,quy trình phát triển game|các công cụ phát triển game|phát triển Game|game development|phát triển game
logic algorithm,Soft Skill,15,9,13,2,review logic|phân tích logic|logic algorithm|sắp xếp logic|phân tích vấn đề logic
high availability,Engineering Concepts & Methodologies,15,5,10,5,High Availability|high availability|high-availability|high availability (HA)|Availability
digital banking,Domain Knowledge,15,4,7,8,digital banking|Digital Banking|digital banking systems|digital banking products
cloud services,Infrastructure & DevOps,15,11,5,10,cloud server|dịch vụ trên cloud|Cloud Services|Cloud services|cloud services
data lakehouse,Data Engineering & Analytics,15,5,11,4,data warehouse/lakehouse|Data Lakehouse|lakehouse|Data LakeHouse|Lakehouse
interpersonal skills,Soft Skill,15,3,15,0,communicate effectively|interpersonal skills|interpersonal
front end,Domain Knowledge,15,3,9,6,Front-end|front-end|Front-End
spi,Embedded & Firmware,15,1,13,2,SPI
message broker,Infrastructure & DevOps,15,4,7,8,message broker|Message Broker|Message Brokers|message brokers
khai phá dữ liệu,Data Engineering & Analytics,15,11,10,5,luồng dữ liệu|trình bày dữ liệu|đối chiếu dữ liệu|vận hành luồng dữ liệu|khai phá dữ liệu
android development,Domain Knowledge,15,6,13,2,Android application development|phát triển ứng dụng Android|Android development|build Android|Android Developer
product design,Design & UX,15,8,13,2,quy trình thiết kế sản phẩm|thiết kế sản phẩm|product design|Product Design|Product Designer
apache kafka,Data Engineering & Analytics,15,7,11,4,Apache Kafka|Apache Tomcat|Apache Doris|Apache Maven|Apache Hbase
dependency injection,Engineering Concepts & Methodologies,15,3,14,1,Dependency Injection|dependency injection|Dependency Injection (DI)
ruby,Programming Language,15,1,14,1,Ruby
camera systems,IT Support & Hardware,15,11,7,8,hệ thống camera|hệ thống camera AI|quản trị hệ thống Camera|hệ thống camera giám sát|Camera công nghiệp
lambda,Infrastructure & DevOps,15,2,12,3,Lambda|lambda
riverpod,Framework / Library,15,1,14,1,Riverpod
financial,Domain Knowledge,15,10,7,8,tổ chức tài chính|Tổ chức Tài chính|tài chính công|ngành tài chính|tài chính số
mes,Domain Knowledge,15,1,8,7,MES
hpe,Tool & Platform,15,1,10,5,HPE
owasp top 10,Other,15,4,14,1,Owasp top 10|OWASP Top 10|OWASP Top10|Top10 OWASP
gdpr,Other,15,1,11,4,GDPR
router,Infrastructure & DevOps,15,2,14,1,Router|router
pmi pba,Other,15,1,1,14,PMI-PBA
shopify,Tool & Platform,14,1,8,6,Shopify
edtech,Domain Knowledge,14,2,2,12,EdTech|Edtech
camera,IT Support & Hardware,14,2,10,4,camera|Camera
stored procedure,Database,14,7,13,1,Stored Procedure|stored procedure|stored procedures|Stored Procedures|Store procedure
cassandra,Database,14,1,12,2,Cassandra
rxjs,Framework / Library,14,1,9,5,RxJS
uikit,Framework / Library,14,1,14,0,UIKit
level design,Design & UX,14,5,12,2,thiết kế level|level design|Level design|Level Design|level designs
secure coding,Engineering Concepts & Methodologies,14,4,14,0,Lập trình an toàn|secure coding|Secure Coding|secure coding practices
lucidchart,Tool & Platform,14,1,11,3,Lucidchart
quản trị doanh nghiệp,Domain Knowledge,14,5,8,6,quản lý doanh nghiệp|quản trị doanh nghiệp|hệ thống quản trị doanh nghiệp|quản trị của doanh nghiệp|nghiệp vụ quản trị trong doanh nghiệp
qdrant,Database,14,1,8,6,Qdrant
real time data processing,Data Engineering & Analytics,14,10,10,4,cơ sở dữ liệu thời gian thực|real-time data|dữ liệu realtime|real-time data processing|xử lý dữ liệu real-time
endpoint security,Infrastructure & DevOps,14,5,12,2,Endpoint Security|Endpoint security|endpoint security|Endpoint Protection|endpoint protection
online payments,Domain Knowledge,14,6,6,8,online payments|payment systems|thanh toán điện tử|Thanh toán điện tử|thanh toán trực tuyến
kiểm thử thủ công,Testing & QA,14,9,10,4,Kiểm toán|chứng chỉ kiểm thử|kiểm thử UT|kiểm tra|kiểm định
axure,Tool & Platform,14,1,14,0,Axure
rnn,AI/ML/Data,14,1,12,2,RNN
real estate,Domain Knowledge,14,4,7,7,real estate|bất động sản|Bất Động Sản|Bất động sản
ethernet,Infrastructure & DevOps,14,1,11,3,Ethernet
phân tích và xử lý vấn đề,Soft Skill,14,7,13,1,"phân tích và phát hiện vấn đề|phân tích và xử lý vấn đề|Phân tích & Giải quyết vấn đề|phân tích và tổng hợp vấn đề|phân tích, và giải quyết vấn đề"
cnn,AI/ML/Data,14,1,12,2,CNN
helm,Infrastructure & DevOps,14,2,12,2,Helm|helm
cloud native,Infrastructure & DevOps,14,10,10,4,cloud-native design|Cloud Native|cloud-native|cloud native|Cloud-native
sonarqube,Tool & Platform,14,3,12,2,SonarQube|Sonarqube|SonarCloud
phần mềm quản lý,Domain Knowledge,14,10,9,5,quản lý hệ thống phần mềm|phần mềm quản trị|Phần mềm quản trị|phần mềm quản lý|Phần mềm quản lý
autogen,AI/ML/Data,14,2,11,3,Autogen|AutoGen
dms,Domain Knowledge,14,1,10,4,DMS
dell,IT Support & Hardware,14,2,10,4,Dell|DELL
api integration,Engineering Concepts & Methodologies,14,2,12,2,API integration|API integrations
queue,Infrastructure & DevOps,14,3,8,6,Queue|QUEUE|queue
tư duy,Soft Skill,14,2,13,1,Tư duy|tư duy
plc,Embedded & Firmware,14,2,10,4,PLC|lập trình PLC
cucumber,Testing & QA,13,2,9,4,Cucumber|cucumber
modeling,AI/ML/Data,13,9,13,0,mô hình AI|mô hình suy diễn|modeling|mô hình hóa|mô hình SaaS
continuous integration,Infrastructure & DevOps,13,5,7,6,Continuous Integration|Continuous Integration tools|continuous integration|Continuous integration|Continuous Integration (CI)
computers,IT Support & Hardware,13,7,11,2,thiết bị máy tính|Computers|computer systems|máy tính|Máy tính
máy chủ,Infrastructure & DevOps,13,2,12,1,máy chủ|Máy chủ
system,Infrastructure & DevOps,13,1,11,2,System
test scripts,Testing & QA,13,5,13,0,Test Script|test script|test scripts|test execution processes|test execution
soc,Infrastructure & DevOps,13,2,12,1,SOC|SoC
clustering,AI/ML/Data,13,4,11,2,Clustering|clustering|NLB Cluster|Clusters
ibm,Tool & Platform,13,1,11,2,IBM
mobile banking,Domain Knowledge,13,4,3,10,mobile banking|Mobile Banking|Mobile/Internet Banking|Mobile banking
lms,Domain Knowledge,13,1,3,10,LMS
linux server,Infrastructure & DevOps,13,6,10,3,Linux Server|server Linux|Linux server|quản trị server Linux|Unix server
pinecone,Database,13,1,11,2,Pinecone
server api,Infrastructure & DevOps,13,11,11,2,xử lý sự cố server|Server API|quản trị hệ thống server|quản lý server|quản trị server
phần mềm doanh nghiệp,Domain Knowledge,13,9,7,6,phần mềm quản trị doanh nghiệp|triển khai phần mềm quản trị doanh nghiệp|kinh doanh phần mềm|quản trị phần mềm doanh nghiệp|vận hành hệ thống phần mềm doanh nghiệp
database oracle,Database,13,9,9,4,Oracle DB|Database Oracle|Oracle 12c|Specialist cho Oracle Database 12c|Oracle database administration
messaging,Infrastructure & DevOps,13,7,9,4,messaging|messaging system|Messaging system|Messaging architecture|messaging systems
vận hành game,Domain Knowledge,13,10,6,7,ngành game|ngành Game|thể loại game|cơ chế game|vận hành Game
people management,Soft Skill,13,6,13,0,quản trị con người|people-management|quản lý nhân sự|people management|People Management
điều phối công việc,Soft Skill,13,7,12,1,"làm việc đa nhiệm|làm việc đa bên|phối hợp, hỗ trợ công việc|điều phối công việc|phối hợp công việc"
ccnp security,Other,13,4,2,11,CCNA Security|CCNP Security|CCNA – Security|CCNA/CCNP Security
trình bày giải pháp kỹ thuật,Soft Skill,13,10,12,1,giải pháp kỹ thuật|trình bày giải pháp kỹ thuật|phân tích giải pháp công nghệ|review giải pháp kỹ thuật|đưa ra solution cho các vấn đề kỹ thuật
quản lý kho,Domain Knowledge,13,8,8,5,quản lý kho|Quản lý kho|quản lý Kho|tool quản lý kho|Quản lý tồn kho
budget control,Soft Skill,13,9,11,2,lên kế hoạch ngân sách|quản lý ngân sách|budget management|Budget Management|lập kế hoạch ngân sách
windows os,Tool & Platform,13,6,13,0,hệ điều hành Windows|Hệ điều hành Windows|Windows Operating System|OS windows|Windows OS
webpack,Tool & Platform,13,1,10,3,Webpack
email server,Infrastructure & DevOps,13,7,8,5,hệ thống email|Mail Server|Mail server|Email Server|email hệ thống
kinh doanh,Domain Knowledge,13,10,7,6,doanh nghiệp|phát triển kinh doanh|Business|business development|vận hành đơn vị kinh doanh
make,Tool & Platform,13,2,9,4,Make|make
hybrid cloud,Infrastructure & DevOps,13,4,5,8,hybrid cloud|NetApp Hybrid Cloud|Hybrid Cloud|hybrid-cloud
vite,Tool & Platform,13,1,11,2,Vite
tư vấn giải pháp,Soft Skill,13,3,9,4,tư vấn giải pháp|Tư vấn giải pháp|tư vấn và thiết kế giải pháp
pyspark,Data Engineering & Analytics,12,2,9,3,PySpark|Pyspark
autocad,Tool & Platform,12,4,12,0,AutoCAD|autocad|Autocad|AutoCad
lin,Embedded & Firmware,12,1,11,1,LIN
networks,Infrastructure & DevOps,12,9,11,1,Networks|networks|Hệ thống lưới|hệ thống lưới|mạng lưới
digital transformation,Domain Knowledge,12,5,10,2,digital transformation|Digital Transformation|Digital transformation|giải pháp chuyển đổi số doanh nghiệp|digital transformation projects
power automate,Data Engineering & Analytics,12,2,9,3,Power Automate|Microsoft Power Automate
thuyết phục,Soft Skill,12,1,12,0,thuyết phục
tư duy lập trình,Soft Skill,12,2,12,0,Tư duy lập trình|tư duy lập trình
đấu thầu,Domain Knowledge,12,6,7,5,xây dựng hồ sơ thầu|đấu thầu|thủ tục tham gia đấu thầu|chứng chỉ hành nghề đấu thầu|thủ tục đấu thầu
cisa,Other,12,1,1,11,CISA
azure pipelines,Infrastructure & DevOps,12,8,9,3,embedding pipelines|pipeline AI/ML|Pipeline|CI/D pipeline|Azure Pipelines
sentry,Infrastructure & DevOps,12,1,5,7,Sentry
real time systems,Engineering Concepts & Methodologies,12,8,4,8,real-time system|hệ thống real-time|real-time systems|Real-time Systems|hệ thống real-time phục vụ AI
oscp,Other,12,1,2,10,OSCP
asana,Tool & Platform,12,1,11,1,Asana
security best practices,Infrastructure & DevOps,12,2,9,3,security best practices|Security best practices
mixpanel,Tool & Platform,12,1,9,3,Mixpanel
automation frameworks,Testing & QA,12,3,10,2,automation frameworks|automation framework|automation framework design
encryption,Infrastructure & DevOps,12,3,6,6,encryption|Encryption|data encryption
iso 9001,Other,12,3,10,2,ISO 9001|ISO 9001:2015|chứng chỉ ISO 9001
retrofit,Framework / Library,12,1,12,0,Retrofit
predictive modeling,AI/ML/Data,12,7,12,0,predictive modeling|Prediction Models|xây dựng mô hình dự đoán|mô hình dự đoán|phân tích dự đoán
ips,Infrastructure & DevOps,12,1,12,0,IPS
layout,Design & UX,12,2,12,0,Layout|layout
slack,Tool & Platform,12,1,10,2,Slack
system test,Testing & QA,12,5,11,1,System Test|Kiểm thử hệ thống|System test|kiểm thử hệ thống|system testing
tư vấn,Soft Skill,12,2,8,4,tư vấn|Tư vấn
comptia security+,Other,12,3,0,12,CompTIA Security|Comptia Security+|CompTIA Security+
stm32,Embedded & Firmware,12,2,10,2,STM32|stm32
bug report,Testing & QA,12,7,12,0,Bug report|bug reports|bug reporting|bug report|viết bug report
iso26262,Other,12,5,7,5,ISO27001|ISO14229|ISO26262|UDS ISO144229|ISO21434
quality management,Testing & QA,12,7,11,1,quality management tools|Quality Management|quality management|Quy trình quản lý chất lượng|quản lý chất lượng
mạng cơ bản,Infrastructure & DevOps,12,4,10,2,mạng xã hội|mạng nội bộ|mạng cơ bản|mạng truyền thông
monetization,Domain Knowledge,12,7,7,5,Monetization|monetization design|Monetization design|monetization mechanics|monetization
ajax,Framework / Library,12,2,11,1,Ajax|AJAX
web,Domain Knowledge,12,3,10,2,Web|web|WEB
system admin,Infrastructure & DevOps,12,5,12,0,System Admin|System admin|system admin|Quản trị viên Hệ thống|System Administrator
esp32,Embedded & Firmware,12,2,10,2,ESP32|esp32
ecs,Infrastructure & DevOps,12,1,8,4,ECS
oracle rac,Tool & Platform,12,10,5,7,Oracle NetSuite|Oracle PSFT|Oracle RAC|Oracle Rac|Oracle OFSAA
telesales,Tool & Platform,12,10,8,4,tóan học|Telesale|telesales|Kube manifest|Sonaqube
model evaluation,AI/ML/Data,12,6,9,3,model evaluation|LLM evaluation|đánh giá model|Model evaluation|LLM Evaluation
acceptance criteria,Engineering Concepts & Methodologies,12,2,12,0,Acceptance Criteria|acceptance criteria
web applications development,Domain Knowledge,12,7,12,0,phát triển ứng dụng Web|phát triển ứng dụng web|web applications development|web-based application development|Web or Application development
pos,Domain Knowledge,12,1,6,6,POS
working directly with customers,Soft Skill,12,5,10,2,làm việc với khách hàng|Làm việc với khách hàng|làm việc trực tiếp với khách hàng Nhật|working directly with customers|làm việc trực tiếp với khách hàng
outsourcing,Domain Knowledge,12,6,6,6,outsourcing|IT outsourcing|IT Outsourcing|outsourcing projects|outsource
dự án cntt,Domain Knowledge,12,9,11,1,Quy trình triển khai dự án CNTT|quản lý các dự án CNTT|Quản lý dự án CNTT|Chứng chỉ Lập và quản lý dự án CNTT|dự án CNTT
phân tích game,Domain Knowledge,12,6,10,2,"đánh giá, phân tích game|phân tích game|đánh giá và cải tiến game|đánh giá sản phẩm game|đánh giá game"
weaviate,Database,12,1,10,2,Weaviate
project coordination,Soft Skill,12,5,12,0,Project coordination|Coordination|Project Coordination|project coordination|coordination
material design,Design & UX,12,4,6,6,Material Design|Material design|material design|Material 3 Design
regression,AI/ML/Data,11,4,10,1,regression|Regression|linear regression|Linear Regression
chứng chỉ bảo mật,Other,11,7,7,4,chứng chỉ bảo mật|chứng chỉ về bảo mật|nguyên tắc bảo mật|Phát triển UI bảo mật|xử lý sự cố bảo mật
conflict resolution,Soft Skill,11,3,11,0,giải quyết xung đột|xử lý conflict|conflict resolution
"phân tích thông tin, dữ liệu",Soft Skill,11,10,11,0,"phân tích/tổng hợp thông tin|thu thập, tổng hợp, phân tích thông tin|phân tích và tổng hợp thông tin|phân tích, tổng hợp thông tin|tổng hợp và phân tích thông tin"
pentest,Testing & QA,11,3,7,4,Pentest|pentest|Pentester
after effects,Tool & Platform,11,1,4,7,After Effects
bán hàng,Domain Knowledge,11,5,8,3,ERP bán hàng|bán hàng|Bán hàng|Mua hàng – bán hàng|mua – bán – kho
checkpoint,Infrastructure & DevOps,11,2,10,1,Checkpoint|CheckPoint
design thinking,Design & UX,11,7,8,3,Design thinking|tư duy thiết kế|Tư duy thiết kế|Design Thinking|design-thinking
giao thức mạng,Infrastructure & DevOps,11,3,8,3,giao thức mạng|dịch vụ mạng|giao tiếp mạng
sass,Framework / Library,11,2,9,2,SASS|Sass
redshift,Data Engineering & Analytics,11,2,8,3,Redshift|AWS Redshift
lead,Soft Skill,11,4,11,0,lead|Lead|dẫn dắt|Dẫn dắt
flowchart,Engineering Concepts & Methodologies,11,4,11,0,Flowchart|flowchart|flowcharting tools|Flowcharts
stlc,Testing & QA,11,1,11,0,STLC
client server,Engineering Concepts & Methodologies,11,9,9,2,hệ điều hành client/server|Server - Client|hệ thống client–server|server-client|Client–Server
bluetooth,Domain Knowledge,11,6,2,9,Bluetooth (BLE)|Bluetooth|Bluetooth stack|Bluetooth Classic|Bluetooth LE
it system,Domain Knowledge,11,7,8,3,IT systems and technologies|IT systems|Hệ thống thông tin|hệ thống thông tin|IT system
quản lý tiến độ,Soft Skill,11,2,11,0,quản lý tiến độ|Quản lý tiến độ
data driven,Engineering Concepts & Methodologies,11,4,11,0,Data-driven|data-driven|data-driven programming|data-driven approach
decision making,Soft Skill,11,6,11,0,phân tích và ra quyết định|Phân tích và ra quyết định|decision-making|đưa ra quyết định|đưa ra các quyết định
ad,Infrastructure & DevOps,11,1,11,0,AD
rest assured,Testing & QA,11,3,9,2,REST Assured|RestAssured|Rest Assured
clickup,Tool & Platform,11,2,8,3,ClickUp|Clickup
tư duy thẩm mỹ,Design & UX,11,5,10,1,thẩm mỹ|Tư duy thẩm mỹ|tư duy thẩm mỹ|Thẩm mỹ|khiếu thẩm mỹ
i2c,Embedded & Firmware,11,1,10,1,I2C
hilt,Framework / Library,11,1,9,2,Hilt
data platform,Data Engineering & Analytics,11,4,7,4,data platform|Data Platform|data platforms|Data Platforms
bảo mật hạ tầng,Infrastructure & DevOps,11,8,10,1,giám sát an ninh mạng|bảo mật và an ninh mạng|bảo mật hạ tầng|xử lý sự cố an ninh mạng|bảo mật - mạng
black box testing,Testing & QA,11,7,10,1,kiểm thử hộp đen|black-box testing|Black-box Testing|black box testing|Black box
power platform,Tool & Platform,11,3,10,1,Power Platform|Microsoft Power Platform|Power Platforms
quantization,AI/ML/Data,11,3,8,3,Model Quantization|quantization|Quantization
telecommunications,Domain Knowledge,11,9,4,7,dữ liệu viễn thông|hệ thống viễn thông|mạng viễn thông|chứng chỉ viễn thông|doanh nghiệp viễn thông
context api,Framework / Library,11,3,10,1,Context API|context management|Context Engineering
dynamodb,Database,11,1,8,3,DynamoDB
education,Domain Knowledge,11,5,4,7,giáo dục|Education|education|ERP giáo dục|khảo thí / giáo dục
optimization,Engineering Concepts & Methodologies,11,5,9,2,optimization|Optimization algorithms|Optimization|optimization projects|optimization techniques
ocr,AI/ML/Data,11,1,7,4,OCR
robotics,Domain Knowledge,11,5,7,4,Robot|robot|robotics|Robotics|Robot công nghiệp
quality control,Testing & QA,11,5,11,0,đảm bảo chất lượng|kiểm soát chất lượng|quality control|Quality Control|Kiểm soát đảm bảo chất lượng
thu thập yêu cầu,Engineering Concepts & Methodologies,11,6,11,0,thu thập yêu cầu|Thu thập yêu cầu|đặc tả yêu cầu|viết đặc tả yêu cầu|làm rõ yêu cầu
gitops,Infrastructure & DevOps,11,1,8,3,GitOps
vmware vsphere,Infrastructure & DevOps,11,4,8,3,VMware vSphere|Vmware vSphere|VMware vSphere 6.5|VMware vSphere 7.0
